Sr.No,Date,City,State,Company,Type,Keynotes
1,"September 28, 2023",Leipzig,SN,Online store soccer club,,"Saxony,1. FC Lokomotive Leipzig"
2,"September 24, 2023",HÃ¼rth,NW,Welfare Association,,"North Rhine-Westphalia, Rhein-Erft-Kreis, Welfare, Social,Church, religion,Caritasverband fÃ¼r den Rhein Erft Kreis e.V.,HUrth,Caritasverband fUr den Rhein Erft Kreis e.V."
3,"September 19, 2023",Berlin,BE,City government,,"Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,berlin.de"
4,"September 19, 2023",Villingen-Schwenningen,BW,University,,"Baden-WÃ¼rttemberg, Schwarzwald-Baar-Kreis, College, University, Research,DHBW Villingen-Schwenningen,Baden-WUrttemberg"
5,"September 18, 2023",Furtwangen im Schwarzwald,BW,University,,"Baden-WÃ¼rttemberg, Schwarzwald-Baar-Kreis, College, University, Research,Hochschule Furtwangen,Baden-WUrttemberg"
6,"September 13, 2023",Deggendorf,BY,Wood processing company,,"Bavaria, Landkreis Deggendorf"
7,September 2023,Bielefeld,NW,Mass transit company,,"North Rhine-Westphalia, Rapid Transit, Mass Transit, Public Transport,Transportation,moBiel GmbH"
8,"September 1, 2023",Bonn,NW,Financial regulatory authority,,"North Rhine-Westphalia, Finance, Money,Administration, Authority, Government, Public sector,Bundesanstalt fÃ¼r Finanzdienstleistungsaufsicht (BaFin),Bundesanstalt fUr Finanzdienstleistungsaufsicht (BaFin)"
9,"September 1, 2023",ZweibrÃ¼cken,RP,School,,"Rhineland-Palatinate,Helmholtz-Gymnasium,ZweibrUcken"
10,August 2023,WÃ¶rrstadt,RP,Association of municipalities,,"Rhineland-Palatinate, Landkreis Alzey-Worms, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Verbandsgemeinde WÃ¶rrstadt,WOrrstadt,Verbandsgemeinde WOrrstadt"
11,August 2023,Cologne,NW,Healthcare Facility,,"North Rhine-Westphalia, KÃ¶ln, Koln, Healthcare,FPZ GmbH"
12,"August 30, 2023",Alzey,RP,City government,,"Rhineland-Palatinate, Landkreis Alzey-Worms, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
13,"August 29, 2023",Malente,SH,Motion technology,,"Schleswig-Holstein, Kreis Ostholstein, Automobile, Automotive, Cars,Kendrion Kuhnke"
14,"August 24, 2023",Lemgo,NW,Special school,,"North Rhine-Westphalia, Kreis Lippe,Astrid-Lindgren-Schule"
15,"August 24, 2023",NeumÃ¼nster,SH,Utility,,"Schleswig-Holstein, Disposal, Utility,Stadtwerke NeumÃ¼nster (SWN),NeumUnster,Stadtwerke NeumUnster (SWN)"
16,"August 17, 2023",Schwerin,MV,State government,,"MecklenburgâWestern Pomerania, Administration, Authority, Government, Public sector,Government"
17,"August 11, 2023",Hannover,NI,Urban railway company,,"Lower Saxony, Transportation,Railway,S-Bahn Hannover / Transdev Hannover"
18,"August 7, 2023",Dortmund,NW,Financial Magazine,,"North Rhine-Westphalia, Finance, Money,ECOreporter"
19,August 2023,Mainz,RP,Retailer,,"Rhineland-Palatinate, Retail,Consumer goods"
20,August 2023,Munich,BY,Book publishing company,,"Bavaria, MÃ¼nchen, Munchen,MÃ¼nchner Verlagsgruppe,MUnchner Verlagsgruppe"
21,"August 1, 2023",Dortmund,NW,Financial Magazine,,"North Rhine-Westphalia, Finance, Money,ECOreporter"
22,August 2023 ?,Dollern,NI,Water utility,,"Lower Saxony, Landkreis Stade, Disposal, Utility,Trinkwasserverband Stader Land"
23,July 2023,Radeberg,SN,Association for deafblinds,,"Saxony, Landkreis Bautzen, Welfare, Social,Healthcare,Church, religion,Taubblindendienst e.V."
24,July 2023 ?,Aschaffenburg,BY,Automotive supplier,,"Bavaria, Automobile, Automotive, Cars,Joyson"
25,July 2023 ?,DÃ¼sseldorf,NW,University,,"North Rhine-Westphalia, College, University, Research,UniversitÃ¤t DÃ¼sseldorf (HHU),DUsseldorf,UniversitAt DUsseldorf (HHU)"
26,July 2023,Ettlingen,BW,IT / Software,,"Baden-WÃ¼rttemberg, Landkreis Karlsruhe,SoftProject,Baden-WUrttemberg"
27,"July 17, 2023",Chemnitz,SN,Art Museum,,"Saxony,Kunstsammlungen Chemnitz"
28,"July 14, 2023",Weener,NI,Building technology,,"Lower Saxony, Landkreis Leer,Wildeboer Bauteile"
29,July 2023,Dortmund,NW,Financial Magazine,,"North Rhine-Westphalia, Finance, Money,ECOreporter"
30,June 2023,Bad Schwalbach,HE,Dairy,,"Hessen, Rheingau-Taunus-Kreis, Groceries, Food,SchwÃ¤lbchen Molkerei Jakob Berz AG,SchwAlbchen Molkerei Jakob Berz AG"
31,June 2023 ?,Brandenburg an der Havel,BB,Event organizer,,"Brandenburg,Ost Cola"
32,June 2023,Kaufbeuren,BY,City government,,"Bavaria, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
33,"June 24, 2023",Hamburg,HH,Financial information,,"Finance, Money,Cash Medien"
34,"June 16, 2023",DÃ¼sseldorf,NW,IT service provider,,"North Rhine-Westphalia,circ IT,DUsseldorf"
35,"June 16, 2023",Hamburg,HH,Book publishers,,Holtzbrinck Buchverlage
36,"June 16, 2023",DÃ¼sseldorf,NW,Media company,,"North Rhine-Westphalia, Newspaper,Rheinische Post Mediengruppe,DUsseldorf"
37,"June 15, 2023",Berlin,BE,Research Center,,"Research and Development,Helmholtz-Zentrum Berlin (HZB)"
38,"June 14, 2023",HÃ¼lben,BW,Municipality,,"Baden-WÃ¼rttemberg, Landkreis Reutlingen, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Baden-WUrttemberg,HUlben"
39,June 2023,Hannover,NI,Medical review service,,"Lower Saxony, Healthcare,Medizinischer Dienst Niedersachsen"
40,June 2023,Bremen,HB,Medical review service,,"Healthcare,Medizinischer Dienst Bremen"
41,"June 9, 2023",Kaiserslautern,RP,University of applied sciences,,"Rhineland-Palatinate, Kaiserslautern district, College, University, Research,Hochschule Kaiserslautern"
42,June 2023,GÃ¼glingen,BW,Solar parks,,"Baden-WÃ¼rttemberg, Landkreis Heilbronn, Energy supply, power plants, power supply,Finance, Money,hep global GmbH,Baden-WUrttemberg,GUglingen"
43,"June 3, 2023",Bad Homburg vor der HÃ¶he,HE,Leasing company,,"Hesse, Finance, Money,Deutsche Leasing,Bad Homburg vor der HOhe"
44,"June 3, 2023",Bad Homburg vor der HÃ¶he,HE,Receivables management,,"Hesse, Finance, Money,Bad Homburger Inkasso,Bad Homburg vor der HOhe"
45,May 2023,Kaltennordheim,TH,City government,,"Thuringia, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Kaltennordheim, Verwaltungsgemeinschaft Hohe RhÃ¶n,Kaltennordheim, Verwaltungsgemeinschaft Hohe RhOn"
46,May 2023,Unna,NW,Newspaper / Media boxes,,"North Rhine-Westphalia, Kreis Unna, Newspaper,Hellweger Anzeiger"
47,"May 31, 2023",Berlin,BE,Association of statutory health insurers,,"Healthcare,Finance, Money,AOK Bundesverband"
48,"May 31, 2023",,,Automotive supplier,,"Automobile, Automotive, Cars,?"
49,"May 31, 2023",,,Automotive supplier,,"Automobile, Automotive, Cars,?"
50,"May 31, 2023",Frankfurt/Main,HE,Bank,,"Hesse, Finance, Money,Commerzbank / Comdirect"
51,"May 31, 2023",Frankfurt/Main,HE,Bank,,"Hesse, Finance, Money,Deutsche Bank"
52,May 2023 ?,Frankfurt/Main,HE,Bank,,"Hesse, Finance, Money,ING-DiBa"
53,"May 31, 2023",Bonn,NW,Bank,,"North Rhine-Westphalia, Finance, Money,Postbank"
54,"May 31, 2023",,,Bonus program,,"Finance, Money,Retail,?"
55,"May 31, 2023",,,Company,,?
56,"May 31, 2023",Heidelberg,BW,Comparison Shopping Website,,"Baden-WÃ¼rttemberg,Verivox,Baden-WUrttemberg"
57,"May 31, 2023",Munich,BY,Energy technology,,"Bavaria, MÃ¼nchen, Munchen, Energy supply, power plants, power supply,Siemens Energy"
58,"May 31, 2023",Berlin,BE,Health insurance,,"Healthcare,Finance, Money,Barmer"
59,"May 31, 2023",Munich,BY,Insurance,,"Bavaria, MÃ¼nchen, Munchen, Finance, Money,Bayern-Versicherung Lebensversicherung AG"
60,"May 31, 2023",DÃ¼sseldorf,NW,Insurance,,"North Rhine-Westphalia, Finance, Money,Provinzial / Provinzial Nordwest Lebensversicherung AG,DUsseldorf"
61,"May 31, 2023",Neuss,NW,Insurance,,"North Rhine-Westphalia, Rhein-Kreis Neuss, Finance, Money,Provinzial / RheinLand Versicherungs AG"
62,"May 31, 2023",,,Logistics,,"Transportation,Logistics,?"
63,"May 31, 2023",,,Logistics solutions,,"Logistics,?"
64,"May 31, 2023",,,Manufacturer,,?
65,"May 31, 2023",,,Mechanical engineering,,?
66,"May 31, 2023",Mainz,RP,Media company,,"Rhineland-Palatinate,VRM"
67,"May 31, 2023",,,Printing machines,,?
68,"May 31, 2023",Heidelberg,BW,Printing machines,,"Baden-WÃ¼rttemberg,Heidelberger Druckmaschinen AG,Baden-WUrttemberg"
69,"May 31, 2023",Alsfeld,HE,Publishing company,,"Hesse, Vogelsbergkreis, Newspaper,Verlagsgesellschaft Vogelsberg GmbH & Co. KG"
70,"May 31, 2023",GÃ¼tersloh,NW,Service provider - customer contact management,,"Nordrhein-Westfalen, NRW, Kreis GÃ¼tersloh,Majorel Deutschland,GUtersloh"
71,"May 31, 2023",Stuttgart,BW,Statutory health insurance,,"Baden-WÃ¼rttemberg, Finance, Money,Healthcare,AOK Baden-WÃ¼rttemberg,Baden-WUrttemberg,AOK Baden-WUrttemberg"
72,"May 31, 2023",Munich,BY,Statutory health insurance,,"Bavaria, MÃ¼nchen, Munchen, Healthcare,Finance, Money,AOK Bayern"
73,"May 31, 2023",Bremen,HB,Statutory health insurance,,"Healthcare,Finance, Money,AOK Bremen/Bremerhaven"
74,"May 31, 2023",Bad Homburg vor der HÃ¶he,HE,Statutory health insurance,,"Hesse, Healthcare,Finance, Money,AOK Hessen,Bad Homburg vor der HOhe"
75,"May 31, 2023",Hannover,NI,Statutory health insurance,,"Lower Saxony, Healthcare,Finance, Money,AOK Niedersachsen"
76,"May 31, 2023",Dresden,SN,Statutory health insurance,,"Saxony, Healthcare,Finance, Money,AOK Plus"
77,"May 31, 2023",Eisenberg (Pfalz),RP,Statutory health insurance,,"Rhineland-Palatinate, Donnersbergkreis, Healthcare,Finance, Money,AOK Rheinland-Pfalz/Saarland"
78,"May 31, 2023",Magdeburg,ST,Statutory health insurance,,"Sachsen-Anhalt, Healthcare,Finance, Money,AOK Sachsen-Anhalt"
79,"May 31, 2023",,,Technology,,?
80,"May 31, 2023",,,Technology,,?
81,"May 30, 2023",Bad Langensalza,TH,City government,,"Thuringia, Unstrut-Hainich-Kreis, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
82,May 2023,Mayen,RP,Street lighting,,"Rhineland-Palatinate, Landkreis Mayen-Koblenz, Administration, Authority, Government, Public sector"
83,"May 24, 2023",Straubing,BY,Car dealer,,"Bavaria, Landkreis Straubing-Bogen, Transportation,Automobile, Automotive, Cars,Retail"
84,"May 23, 2023",Munich,BY,Cash logistics,,"Bavaria, MÃ¼nchen, Munchen, Finance, Money,Planfocus"
85,"May 21, 2023",Stuttgart,BW,Hosting provider,,"Baden-WÃ¼rttemberg,United Hoster,Baden-WUrttemberg"
86,May 2023,Cologne,NW,Church administrative district,,"North Rhine-Westphalia, KÃ¶ln, Koln, Church, religion,Erzbistum KÃ¶ln,Erzbistum KOln"
87,"May 19, 2023",Munich,BY,Data center,,"Bavaria, MÃ¼nchen, Munchen,Mivitec"
88,"May 19, 2023",Zschopau,SN,Catering provider,,"Saxony, Erzgebirgskreis, Groceries, Food,Schlemmereck"
89,"May 19, 2023",Goslar,NI,Churches,,"Lower Saxony, Church, religion,Katholische Kirche Nordharz"
90,"May 19, 2023",Wuppertal,NW,Churches,,"North Rhine-Westphalia, Church, religion,Katholische Pfarreiengemeinschaft Wuppertaler Westen"
91,"May 19, 2023",Hannover,NI,School communication,,"Lower Saxony,heinekingmedia GmbH"
92,"May 18, 2023",Weiden in der Oberpfalz,BY,Car spare parts supplier / workshops,,"Bavaria, Automobile, Automotive, Cars,A.T.U Auto-Teile-Unger Handels GmbH & Co. KG"
93,"May 18, 2023",Ulm,BW,Media company,,"Baden-WÃ¼rttemberg, Newspaper,SÃ¼dwest Presse,Baden-WUrttemberg,SUdwest Presse"
94,"May 16, 2023",Troisdorf,NW,Mechanical engineering company,,"North Rhine-Westphalia, Rhein-Sieg-Kreis,mk Technology Group / Maschinenbau Kitz"
95,"May 16, 2023",,,Mobile operator / Sales,,Vodafone / Vertriebswerk
96,"May 13, 2023",Chemnitz,SN,Mass transit company,,"Saxony, Rapid Transit, Mass Transit, Public Transport,Transportation,Chemnitzer Verkehrs-AG"
97,May 2023,Berlin,BE,Business development company,,"Administration, Authority, Government, Public sector,Germany Trade and Invest"
98,"May 10, 2023",Ludwigsburg,BW,District office,,"Baden-WÃ¼rttemberg, Ludwigsburg district, County administration,Landratsamt Ludwigsburg,Baden-WUrttemberg"
99,"May 10, 2023",Bremen,HB,Hospital,,"Healthcare,Clinic, Hospital,Gesundheit Nord"
100,"May 4, 2023",Hofheim am Taunus,HE,Furnishing,,"Hessen, Main-Taunus-Kreis, Consumer goods,Ikea"
101,April 2023,Berlin,BE,Association of the Pharmaceutical Industry,,"Medicaments, Medicines, Pharmaceutical,Bundesverband der Pharmazeutischen Industrie"
102,April 2023,Ennepetal,NW,Car spare parts supplier,,"North Rhine-Westphalia, Ennepe-Ruhr-Kreis,Bilstein Group"
103,April 2023,Hamburg,HH,Insurance,,"Finance, Money,Condor Versicherung"
104,April 2023 ?,Berlin,BE,IT,,"Administration, Authority, Government, Public sector,init"
105,"April 27, 2023",Pulheim,NW,Cosmetics manufacturer,,"North Rhine-Westphalia, Rhein-Erft-Kreis, Consumer goods,Maxim"
106,April 2023,Essen,NW,IT service provider,,"North Rhine-Westphalia,Bitmarck"
107,April 2023,,,Health insurance companies,,"Healthcare,Finance, Money"
108,"April 23, 2023",,,Aid organization,,"Emergency service, Rescue,Deutsches Rotes Kreuz / Rotkreuzshop"
109,April 2023,Arnsberg,NW,Hospital,,"North Rhine-Westphalia, Hochsauerlandkreis, Healthcare,Clinic, Hospital,Klinikum Hochsauerland"
110,"April 20, 2023",SchwÃ¤bisch Hall,BW,City government,,"Baden-WÃ¼rttemberg, Landkreis SchwÃ¤bisch Hall, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Baden-WUrttemberg,SchwAbisch Hall"
111,"April 20, 2023",Kehl,BW,Steel mill,,"Baden-WÃ¼rttemberg, Ortenaukreis,Badische Stahlwerke,Baden-WUrttemberg"
112,"April 14, 2023",DÃ¼sseldorf,NW,Technology company,,"North Rhine-Westphalia,Rheinmetall,DUsseldorf"
113,April 2023,Bremen,HB,Shipyard,,"Boats, Martime, Ships,LÃ¼rssen,LUrssen"
114,"April 6, 2023",Hamburg,HH,Pharmaceutical research,,"Medicaments, Medicines, Pharmaceutical,Evotec"
115,April 2023,Wiesbaden,HE,Police,,"Hesse, Administration, Authority, Government, Public sector,Police, Law enforcement"
116,"April 5, 2023",Berlin,BE,City government,DDoS attack,"Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
117,"April 5, 2023",Berlin,BE,Police,DDoS attack,"Administration, Authority, Government, Public sector,Police, Law enforcement"
118,April 2023,Kiel,SH,Research library,,"Research and Development,Leibniz-Informationszentrum Wirtschaft (ZBW) / German National Library of Economics"
119,"April 5, 2023",Erfurt,TH,State government,DDoS attack,"Thuringia, Administration, Authority, Government, Public sector,Government"
120,"April 5, 2023",SaarbrÃ¼cken,,State government,,"Saarland, Administration, Authority, Government, Public sector,Government,SaarbrUcken"
121,"April 5, 2023",Kiel,SH,State government,DDoS attack,"Administration, Authority, Government, Public sector,Government,Landesportal"
122,"April 4, 2023",Potsdam,BB,Police,DDoS attack,"Brandenburg, Administration, Authority, Government, Public sector,Police, Law enforcement"
123,"April 4, 2023",Schwerin,MV,Police,DDoS attack,"MecklenburgâWestern Pomerania, Administration, Authority, Government, Public sector,Police, Law enforcement,Landespolizei Mecklenburg-Vorpommern"
124,"April 4, 2023",Hannover,NI,Police,DDoS attack,"Lower Saxony, Police, Law enforcement,Administration, Authority, Government, Public sector,Polizei Niedersachsen"
125,"April 4, 2023",Schwerin,MV,State government,DDoS attack,"MecklenburgâWestern Pomerania, Government,Administration, Authority, Government, Public sector"
126,"April 4, 2023",Magdeburg,ST,State government,DDoS attack,"Sachsen-Anhalt, Government,Administration, Authority, Government, Public sector,Landesportal sachsen-anhalt.de"
127,March 2023,Hannover,NI,Mass transit company,,"Lower Saxony, Rapid Transit, Mass Transit, Public Transport,Transportation,Ãstra Hannoversche Verkehrsbetriebe Aktiengesellschaft,Ustra Hannoversche Verkehrsbetriebe Aktiengesellschaft"
128,"March 28, 2023",Dortmund,NW,Health insurance company,,"North Rhine-Westphalia, Healthcare,Finance, Money,Bundesinnungskrankenkasse Gesundheit (BIG)"
129,"March 27, 2023",,,Humanitarian organization,DDoS attack,"Emergency service, Rescue,Welfare, Social,Red Cross"
130,"March 27, 2023",Berlin,BE,Ministry of Development,DDoS attack,"Government,Administration, Authority, Government, Public sector,Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Bundesministerium fUr wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)"
131,"March 26, 2023",Bessenbach,BY,Automotive supplier,,"Bavaria, Landkreis Aschaffenburg, Automobile, Automotive, Cars,SAF-Holland"
132,"March 25, 2023",Dortmund,NW,IT service provider,,"North Rhine-Westphalia,Materna SE"
133,"March 25, 2023",,,Check-in machines,,"Aviation,Aerodrome, Airport, Airfield"
134,"March 25, 2023",,,Mobile phone prepaid cards,,Vodafone Callya
135,March 2023,GÃ¶ppingen,BW,Internet provider,,"Baden-WÃ¼rttemberg, Landkreis GÃ¶ppingen, Goppingen,imos,Baden-WUrttemberg,GOppingen"
136,March 2023,Lennestadt,NW,Medical supply store,,"North Rhine-Westphalia, Kreis Olpe, Healthcare,Retail,Ortho Form Sauerland"
137,"March 21, 2023",Metzingen,BW,Packaging manufacturer,,"Baden-WÃ¼rttemberg, Landkreis Reutlingen,Storopack Hans Reichenecker,Baden-WUrttemberg"
138,"March 19, 2023",Sinsheim,BW,Wellness spa,,"Baden-WÃ¼rttemberg, Rhein-Neckar district,Badewelt Sinsheim,Baden-WUrttemberg"
139,"March 17, 2023",RheinbÃ¶llen,RP,Automation technology manufacturer,,"Rhineland-Palatinate, Rhein-HunsrÃ¼ck-Kreis,Hahn Group,RheinbOllen"
140,"March 17, 2023",Hamm,NW,IT service provider / Insurance service provider,,"North Rhine-Westphalia,Neuhaus Gruppe"
141,March 2023,Elbtal,HE,Fire brigade,,"Hesse, Landkreis Limburg-Weilburg, Emergency service, Rescue,Administration, Authority, Government, Public sector"
142,"March 15, 2023",Munich,BY,Research Center,,"Bavaria, MÃ¼nchen, Munchen, Research and Development,Healthcare,Helmholtz Zentrum MÃ¼nchen,Helmholtz Zentrum MUnchen"
143,"March 7, 2023",Rastatt,BW,City government,,"Baden-WÃ¼rttemberg, Landkreis Rastatt, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Baden-WUrttemberg"
144,"March 7, 2023",DÃ¼sseldorf,NW,Defense contractor,DDoS attack,"North Rhine-Westphalia, Aerospace, Aviation, Defence, Defense,Armed Forces, Military,Rheinmetall,DUsseldorf"
145,"March 3, 2023",Flensburg,SH,Shipyard,,"Boats, Martime, Ships,Flensburger Schiffbau-Gesellschaft (FSG)"
146,March 2023 ?,Rendsburg,SH,Shipyard,,"Schleswig-Holstein, Kreis Rendsburg-EckernfÃ¶rde, Boats, Martime, Ships,Nobiskrug"
147,"March 2, 2023",Bad Kreuznach,RP,City government,,"Rhineland-Palatinate, Landkreis Bad Kreuznach, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Stadtverwaltung Bad Kreuznach"
148,"March 1, 2023",Feldkirchen,BY,Building materials supplier,,"Bavaria, Landkreis MÃ¼nchen, Construction,STEICO"
149,February 2023,Alsdorf,NW,Stuffed animals,,"North Rhine-Westphalia, StÃ¤dteregion Aachen, Consumer goods,PlÃ¼sch-Tierheim,PlUsch-Tierheim"
150,2023?,Hamburg,HH,Fire department,,"Emergency service, Rescue,Administration, Authority, Government, Public sector"
151,"February 23, 2023",Rodgau,HE,City government,,"Hesse, Offenbach district, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
152,February 2023,Bad Reichenhall,BY,School,,"Bavaria, Landkreis Berchtesgadener Land,Karlsgymnasiums Bad Reichenhall"
153,February 2023,BÃ¶blingen,BW,County administration,,"Baden-WÃ¼rttemberg, BÃ¶blingen district, Administration, Authority, Government, Public sector,County administration,Landratsamt BÃ¶blingen,Baden-WUrttemberg,BOblingen,Landratsamt BOblingen"
154,"February 18, 2023",Karlsruhe,BW,Soccer club,Socia media account takeover,"Baden-WÃ¼rttemberg,Karlsruher SC (KSC),Baden-WUrttemberg"
155,February 2023,Bietigheim-Bissingen,BW,Machinery and equipment,,"Baden-WÃ¼rttemberg, Ludwigsburg district,DÃ¼rr AG,Baden-WUrttemberg,DUrr AG"
156,February 2023,Munich,BY,Public broadcaster,Business Email Compromise Phishing,"Bavaria, MÃ¼nchen, Munchen, Administration, Authority, Government, Public sector,TV,Broadcasting station,Bayerischer Rundfunk (BR)"
157,"February 16, 2023",,,Airports,DDoS attack,"Transportation,Aerodrome, Airport, Airfield,Aviation"
158,"February 16, 2023",Bonn,NW,IT service provider,,"North Rhine-Westphalia,ITZBund"
159,February 2023,Karlsruhe,BW,Utility,,"Baden-WÃ¼rttemberg, Disposal, Utility,Energy supply, power plants, power supply,Stadtwerke Karlsruhe,Baden-WUrttemberg"
160,February 2023,Karlsruhe,BW,Schools,,"Baden-WÃ¼rttemberg,Baden-WUrttemberg"
161,"February 10, 2023",Berlin,BE,IT / insurance platform,,"Finance, Money,Smart InsurTech AG"
162,February 2023,Leonberg,BW,"Door, window and security technology",,"Baden-WÃ¼rttemberg, BÃ¶blingen district,Geze,Baden-WUrttemberg"
163,"February 9, 2023",Giengen an der Brenz,BW,Fire fighting vehicles,,"Baden-WÃ¼rttemberg, Landkreis Heidenheim, Emergency service, Rescue,Automobile, Automotive, Cars,Albert Ziegler GmbH,Baden-WUrttemberg"
164,"February 7, 2023",Frankfurt/Main,HE,Service company,,"Hesse, Aviation,Transportation,Aerodrome, Airport, Airfield,WISAG"
165,"February 6, 2023",Deggendorf,BY,Company,,"Bavaria, Landkreis Deggendorf"
166,February 2023,DÃ¼sseldorf,NW,University,,"North Rhine-Westphalia, College, University, Research,Heinrich-Heine-UniversitÃ¤t (HHU),DUsseldorf,Heinrich-Heine-UniversitAt (HHU)"
167,February 2023,Ilmenau,TH,University,,"Thuringia, Ilm-Kreis, College, University, Research,TU Ilmenau"
168,"February 5, 2023",Langenwetzendorf,TH,Vehicle and steel construction,,"Thuringia, Landkreis Greiz district, Automobile, Automotive, Cars,Construction,Laremo GmbH"
169,"February 3, 2023",MÃ¶nchengladbach,NW,Law firm,,"North Rhine-Westphalia, Monchengladbach, Justice, Legal,Kapellmann und Partner,MOnchengladbach"
170,"February 2, 2023",Nagold,BW,"Furniture fittings, lighting and locking systems",,"Baden-WÃ¼rttemberg, Landkreis Calw, Black Forrest,HÃ¤fele SE & Co KG,Baden-WUrttemberg,HAfele SE & Co KG"
171,"February 2, 2023",Gerstetten,BW,Municipality,,"Baden-WÃ¼rttemberg, Landkreis Heidenheim, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Gemeindeverwaltung Gerstetten,Baden-WUrttemberg"
172,February 2023 ?,BrÃ¼hl,NW,University of applied sciences,,"North Rhine-Westphalia, Rhein-Erft-Kreis, Bergheim, College, University, Research,EuropÃ¤ische Fachhochschule,BrUhl,EuropAische Fachhochschule"
173,"February 1, 2023",Schwabach,BY,Hospital,,"Bavaria, Healthcare,Clinic, Hospital,Stadtkrankenhaus Schwabach"
174,January 2023,Berlin,BE,Party,,"Politics,SPD"
175,"January 31, 2023",Stuttgart,BW,Police,DDoS attack,"Baden-WÃ¼rttemberg, Police, Law enforcement,Administration, Authority, Government, Public sector,Polizei Baden-WÃ¼rttemberg,Baden-WUrttemberg,Polizei Baden-WUrttemberg"
176,"January 31, 2023",Wernigerode,ST,University of applied sciences,,"Sachsen-Anhalt, Landkreis Harz, College, University, Research,Hochschule Harz"
177,"January 31, 2023",MÃ¼lheim an der Ruhr,NW,University of applied sciences,,"North Rhine-Westphalia, College, University, Research,Hochschule Ruhr West (HRW),MUlheim an der Ruhr"
178,"January 26, 2023",Berlin,BE,Air Force,Socia media account takeover,"Armed Forces, Military,Administration, Authority, Government, Public sector,Aviation,Bundeswehr / Luftwaffe"
179,"January 26, 2023",Berlin,BE,Parliament,DDoS attack,"Politics,Government,Bundestag"
180,"January 26, 2023",Stuttgart,BW,Police,DDoS attack,"Baden-WÃ¼rttemberg, Police, Law enforcement,Administration, Authority, Government, Public sector,Polizei Baden-WÃ¼rttemberg,Baden-WUrttemberg,Polizei Baden-WUrttemberg"
181,"January 25, 2023",,,,DDoS attack,
182,January 2023 ?,UnterfÃ¶hring,BY,Pay TV,,"Bavaria, Landkreis MÃ¼nchen, Unterfohring, TV,Sky,UnterfOhring"
183,"January 19, 2023",Essen,NW,IT service provider,,"North Rhine-Westphalia,Bitmarck"
184,"January 19, 2023",Freiberg,SN,University,,"Saxony, Landkreis Mittelsachsen, College, University, Research,Technische UniversitÃ¤t Bergakademie Freiberg (TUBAF),Technische UniversitAt Bergakademie Freiberg (TUBAF)"
185,January 2023,Aying,BY,Mechanical engineering company,,"Bavaria, Landkreis MÃ¼nchen,Fritzmeier Group"
186,January 2023,Aying,BY,E-bike supplier,,"Bavaria, Landkreis MÃ¼nchen, Transportation,Consumer goods,M1 - Sporttechnik"
187,"January 13, 2023",RÃ¶hrnbach,BY,Company,,"Bavaria, Landkreis Freyung-Grafenau, Rohrnbach,ROhrnbach"
188,"January 11, 2023",Dortmund,NW,IT service provider,,"North Rhine-Westphalia,Adesso SE"
189,"January 3, 2023",Heide (Holstein),SH,University of applied sciences,,"Kreis Dithmarschen, College, University, Research,Fachhochschule WestkÃ¼ste,Fachhochschule WestkUste"
190,"January 2, 2023",Potsdam,BB,Lottery,,"Brandenburg,Lotto Brandenburg"
191,"January 1, 2023",Berlin,BE,Lottery,,Lotto Berlin
